video_id,title,published_at,view_count,like_count,comment_count
FpcoL2PZ9zY,"【なぜか優しくできない,怒りが湧く】家族／恋人／子ども／近しい人にほどキツく強く当たってしまう心理",2025-08-06T09:45:01Z,683700,22319,990
Gaps0b_VXIU,【抱え込みすぎ】「私がやらなきゃ」「何でもできなきゃ」、気を使いまくり、自分が人や状況を操作したい→限界を超えて心が崩れる,2023-08-23T12:46:10Z,664306,20164,619
Rtfu2tdV6Ks,【自立しすぎている人】頼れない、任せない、甘えられない。孤独と傷つきを抱え込んできた人,2023-10-18T10:38:47Z,376235,6873,483
7tTBN-Ul_Pg,【選ぶ権利がある】近くにいる方がいい人と、遠ざける方がいい人【割合と頻度を見てね】,2023-08-16T12:38:38Z,256269,4700,195
9ZqyqvABW_8,【自己愛性パーソナリティタイプ】自分は特別・自分は悪くない・トンデモ行動。自己愛が強い人への対処と改善までご紹介。／ナルシスト、話を聞かない、押し付け、支配的,2024-01-10T09:30:02Z,234791,4562,336
Ui7jIx_0sIU,【愛情と依存の違い】&quot;好き&quot;と混同しやすい&quot;依存&quot;の特徴とは？自分軸で与える愛と、他人軸 or 自己満足で埋めようとする愛。  〜グラデーションで考える〜,2025-02-19T09:30:12Z,211779,6271,148
a7x8US7Rwj4,【完璧主義】ひとり反省会・人生が変わらない・全てに神経を尖らせている→「自然な自分ではいけない。」という自己否定のサイン,2023-08-09T11:10:08Z,182094,4671,123
WN3RVQSf7l8,【情緒的ネグレクト】親の“感情面への”無関心や関わりの薄さ。生きづらい子どもに多い、見えにくい精神的なネグレクトとは？,2025-03-26T09:50:15Z,179891,7731,478
htWuimTJmlQ,【自分軸と自分勝手の違い】わがままが気になる人へ。場面での対比を見て整理しよう,2024-02-14T09:30:17Z,159398,4397,140
ZFr_SycknUk,【人の力を拡大する人と縮小する人】自分自身との接し方・他者との接し方を見つめてみよう。力を縮小する人の背景は、そばにいた人の影響。,2024-02-21T12:41:01Z,155676,3272,105
usIp41t_vo0,【アダルトチルドレン】克服の一歩は自己理解。心の平穏を取り戻すため自分に目を向け、心の声に耳を傾けよう。【AC】,2024-10-23T09:30:30Z,151938,4820,182
